RCOM,,,,,,
STOCK data,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2018-11-19,13.6,14.75,13.45,14.1,14.1,75131002
2018-11-20,14.05,14.3,13.35,13.55,13.55,56965684
2018-11-21,13.55,13.9,13.5,13.75,13.75,35165344
2018-11-22,13.95,14.05,13.2,13.3,13.3,55337728
2018-11-26,13.35,13.6,13,13.3,13.3,38401855
2018-11-27,13.3,13.6,13.05,13.3,13.3,48528221
2018-11-28,13.4,13.45,13,13.1,13.1,29712360
2018-11-29,13.15,13.25,12.45,12.75,12.75,35843615
2018-11-30,12.6,14.65,12.55,14.25,14.25,155035529
2018-12-03,15.2,16.85,14.7,16.6,16.6,264930325
2018-12-04,17.1,18.65,16.9,17.1,17.1,323613170
2018-12-05,17,17.5,16.1,16.25,16.25,174862607
2018-12-06,16,16.5,15.25,16.299999,16.299999,137774119
2018-12-07,16.6,17,15.6,15.75,15.75,133398785
2018-12-10,15.3,15.5,14.5,14.75,14.75,73729982
2018-12-11,14,16.1,13.65,15.4,15.4,132082016
2018-12-12,15.95,16.299999,15.45,15.65,15.65,84008027
2018-12-13,15.65,16.049999,14.9,15.4,15.4,86873709
2018-12-14,15.05,16.5,15.05,15.75,15.75,142480206
2018-12-17,15.95,16.25,15.55,15.65,15.65,64347183
2018-12-18,15.7,16.049999,15.5,15.75,15.75,70167746
2018-12-19,14.2,14.95,13.65,14.25,14.25,163060955
2018-12-20,14.25,14.65,14.05,14.35,14.35,85157043
2018-12-21,14.5,14.7,14.05,14.2,14.2,65912405
2018-12-24,14.35,14.55,13.75,14.15,14.15,95356659
2018-12-26,14.15,14.45,13.8,14.3,14.3,87089399
2018-12-27,14.45,14.65,14.15,14.5,14.5,69081337
2018-12-28,14.35,15.05,14.35,14.7,14.7,73248725
2018-12-31,14.75,14.95,14.3,14.4,14.4,71586882
2019-01-01,14.5,14.6,14.15,14.35,14.35,45185360
2019-01-02,14.35,14.4,13.6,13.85,13.85,92048688
2019-01-03,13.75,13.85,13.45,13.5,13.5,52405739
2019-01-04,13.4,14.2,13.3,14,14,139026951
2019-01-07,14.25,14.35,13.65,13.9,13.9,95262182
2019-01-08,13.8,14.15,13.7,14,14,70769680
2019-01-09,14.1,14.15,13.65,13.8,13.8,58166357
2019-01-10,13.9,14,13.65,13.85,13.85,51883452
2019-01-11,13.95,14,13.6,13.7,13.7,47896536
2019-01-14,13.7,13.7,13.35,13.4,13.4,32004610
2019-01-15,13.4,13.6,13.35,13.45,13.45,48091793
2019-01-16,13.5,14.15,13.4,13.8,13.8,69538057
2019-01-17,13.85,13.95,13.45,13.55,13.55,70098847
2019-01-18,13.6,13.6,13.25,13.35,13.35,50095135
2019-01-21,13.4,13.5,13.05,13.1,13.1,46124415
2019-01-22,13.1,13.45,12.85,13.35,13.35,59954052
2019-01-23,13.3,13.4,12.85,12.95,12.95,59736285
2019-01-24,12.75,13.2,12.65,12.85,12.85,62852835
2019-01-25,12.85,12.95,12.35,12.45,12.45,27002942
2019-01-28,12.45,12.45,11.85,12.15,12.15,47207121
2019-01-29,12.05,12.6,12,12.1,12.1,44626964
2019-01-30,12.1,12.35,11.35,11.55,11.55,43666454
2019-01-31,11.55,12.1,10.9,11.75,11.75,61641012
2019-02-01,12,12.1,11.5,11.6,11.6,56418188
2019-02-04,10.45,10.45,5.3,7.55,7.55,378845417
2019-02-05,7.45,7.55,5.35,5.55,5.55,393801088
2019-02-06,5.25,6.55,4.85,5.5,5.5,272318926
2019-02-07,5.5,5.7,4.9,5.2,5.2,186818436
2019-02-08,4.9,5.55,4.9,5.35,5.35,136497533
2019-02-11,5.75,5.75,5.2,5.35,5.35,62523776
2019-02-12,5.35,5.75,5.1,5.65,5.65,88569746
2019-02-14,5.75,5.75,5.2,5.55,5.55,90978467
2019-02-15,5.5,5.7,5.4,5.5,5.5,56200999
2019-02-18,6.05,6.85,5.9,6.1,6.1,105009120
2019-02-19,6.2,6.2,5.95,6,6,53952257
2019-02-20,6.1,6.15,5.45,5.75,5.75,134464383
2019-02-21,5.85,6.55,5.7,6.35,6.35,115064994
2019-02-22,6.35,7.65,6.25,6.5,6.5,244157493
2019-02-25,6.5,6.5,5.9,6,6,95247158
2019-02-26,5.9,6.65,5.85,6.4,6.4,121674643
2019-02-27,6.45,6.7,6.2,6.5,6.5,103565202
2019-02-28,6.5,6.65,6.3,6.5,6.5,89537271
2019-03-01,6.55,6.75,6.5,6.6,6.6,37810434
2019-03-05,6.6,6.7,6.45,6.65,6.65,29368036
2019-03-06,6.7,6.75,5.9,6.05,6.05,51975776
2019-03-07,6.1,6.1,5.85,5.9,5.9,24126795
